-5.10876610	-0.83046198	2.46430660
-4.67958880	-0.80864936	2.48024580
-4.26282690	-1.02461460	2.12541750
-5.17814680	-0.30002546	2.45404820
-4.70532660	-0.23106226	2.45902630
0.96992445	-1.49290990	0.10186329
0.89839947	-1.26894200	0.09239489
-4.54088590	-0.82285607	2.48132540
-3.95911790	-0.81981128	2.45788340
-3.58907220	-0.93604290	2.24635960
-3.12447710	-0.98585433	2.03002980
-2.71548750	-0.98403645	1.78403640
-2.20751400	-0.97609329	1.57720510
-1.74590130	-0.97122127	1.36669540
-1.28882250	-0.96575981	1.16044040
-0.86304277	-0.96638876	0.97071326
-0.34290051	-0.96872646	0.74153876
0.08493376	-0.96783406	0.53216374
0.46170175	-0.96309006	0.32810470
-4.57390310	-0.32699493	2.46307710
-4.00864170	-0.39274448	2.45063330
-3.69681220	-0.47967625	2.44263480
-0.94806516	-0.02986098	0.98738480
-4.50132560	-0.02297986	2.44527220
-0.88469952	0.20790523	0.93256640
-2.14276290	0.78757471	1.44163970
-1.77048590	0.78542030	1.24839500
-1.33457170	0.79088569	1.06820460
-0.88212150	0.79898190	0.89242423
-0.39111108	0.80078524	0.65830231
0.02599135	0.80667162	0.44021714
0.43708259	0.80838919	0.22700936
1.11053880	-1.49248670	0.09533745
1.51562400	-1.46200160	0.09571582
2.05454330	-1.44385870	0.08783716
0.87474167	-1.20173200	0.55826861
0.99638140	-1.24087310	0.29658955
1.48905360	-1.29305120	0.11168313
1.90373540	-1.28872870	0.07759571
-3.36441490	-0.74493265	2.44573470
-2.83882020	-0.78442401	2.40691590
-2.40767260	-0.90882820	2.15527390
-1.93852140	-0.94959873	1.84754470
-1.52058580	-0.94462782	1.67995430
-1.09030250	-0.94389164	1.44019460
-0.64817131	-0.94708699	1.20924840
-0.22839132	-0.95036060	0.97216886
0.21724646	-0.94559705	0.74459219
0.52720517	-0.94216275	0.53183097
-3.33410980	-0.38588184	2.42993760
-2.91082570	-0.36587867	2.41580650
-2.52196840	-0.29197758	2.40669730
-0.84087878	-0.02903367	1.07939290
-0.91279870	0.15597074	1.47658750
-0.80330986	0.24608237	1.10195780
-1.49919700	0.81566685	1.65757760
-1.18362400	0.81246340	1.35973740
-0.71699834	0.81032312	1.14485290
-0.26519886	0.82143056	0.89041531
0.15423818	0.82291043	0.66333795
0.56026065	0.82448786	0.44561008
0.99131459	0.79938680	0.21582374
2.48934890	-1.44847490	0.07483906
1.43924340	-1.19726900	0.65931594
2.15710330	-1.05257300	0.35128057
-2.20211650	-0.71492207	2.42507930
-1.72107040	-0.72804987	2.38974620
-1.35947790	-0.87653875	2.19720170
-0.85867685	-0.90982139	1.89176640
-0.44826460	-0.91164923	1.65509080
0.01316583	-0.91457510	1.41706650
0.42750800	-0.91573560	1.21342110
