0.89166689	-0.67941004	0.06860381
0.90573704	-0.24059083	0.04963860
0.89280868	0.28288305	0.02522474
0.81965578	0.72473788	0.02698907
1.06449430	-0.67969376	0.06217688
1.41681580	-0.69566393	0.05828124
2.01835300	-0.57824177	0.04078454
1.05347170	-0.20407414	0.04417428
1.37045630	-0.20662016	0.03546125
1.91552160	-0.15906164	0.02577680
1.04159990	0.25464842	0.02275312
1.34906480	0.29199487	0.01199293
1.92315020	0.29443094	0.00227970
1.44482090	0.76611573	0.07144648
1.91678120	0.76249760	0.01521432
2.17968750	-0.18946329	0.02063799
2.52406570	-0.16139983	0.01266283
2.19338230	0.30335793	-0.00309199
2.50131460	0.34687680	-0.01161814
2.55538230	0.77524948	0.07536936
4.49594880	0.92081171	-0.00109696
6.79297690	1.03383790	-0.42142391
7.13178060	-0.79310095	-0.18237352
7.24245360	-0.79414427	-0.36153173
6.87789730	0.98272508	-0.26215267
11.85480900	-0.57329679	-0.65498543
12.55458400	-0.57691860	-1.02673480
12.48002900	1.08227930	-1.11915160
12.57658000	-2.25232390	-0.54684162
12.52278300	0.95791638	-0.72982168
15.32102400	0.30516768	-1.42269560
15.28859500	2.03575470	-0.84054232
15.34457400	3.24064450	-1.17105100
0.91032290	-0.69131535	0.06881493
0.90976334	-0.21976808	0.04827344
0.89668995	0.28056508	0.02542317
0.84624571	0.73634064	0.02690825
1.09707070	-0.66992885	0.06240842
1.45667140	-0.70052654	0.05845171
1.92985820	-0.68188179	0.04723000
1.06247790	-0.19168003	0.04382443
1.43518960	-0.20812894	0.03528732
1.97348280	-0.18916975	0.02385211
1.05959580	0.25899211	0.02160788
1.44778650	0.28118801	0.01124167
1.91227720	0.27221331	0.00242472
1.45784390	0.75969428	0.06377173
1.80059810	0.75961745	-0.01932669
2.23388860	-0.22540553	0.02136218
2.66093370	-0.18565294	0.01063180
2.97052570	-0.10107426	0.00071359
2.22349790	0.31742987	-0.00389206
2.54499720	0.31273502	-0.01031780
2.95850800	0.21806023	-0.01464105
2.63176510	0.81609404	0.04742944
3.06361630	0.84711641	-0.05057013
3.54370140	-0.07437437	-0.01094842
3.72671510	0.89787263	0.04794061
4.42317870	0.91673028	-0.25343096
4.66899110	0.92212278	-0.20114839
6.73763940	-0.79380798	-0.18515158
6.75864980	-0.80710453	-0.34266281
6.83637520	0.97145849	-0.63168216
12.54351100	0.88331294	-1.22757100
12.57885100	-2.31129380	-0.58734655
15.34190800	0.01329233	-1.18790530
15.30907500	0.96448797	-1.26565500
15.30508000	2.68723540	-1.08299300
15.29284100	2.91092560	-1.35451030
0.93116784	-0.68910497	0.06838432
0.92672718	-0.19968808	0.04646572
0.91767180	0.27211264	0.02406588
0.84307462	0.74905699	0.02708486
1.11087680	-0.69074833	0.06238607
1.47489580	-0.68136179	0.05645549
1.93752830	-0.69510686	0.04525274
1.08603680	-0.21769816	0.04356256
1.48578380	-0.19357735	0.03271317
1.90772780	-0.22117038	0.02564955
1.08833170	0.26005870	0.01945618
1.47461410	0.27952808	0.00986290
1.93685000	0.27473202	0.00123149
1.48754130	0.77017176	0.06321323
1.91974070	0.78737170	-0.00865561
2.62265870	-0.13776582	0.01115906
3.19724870	-0.02930331	-0.00845540
2.15220240	0.50287431	-0.01636994
2.57657770	0.34157586	-0.01104736
3.15581230	0.38862821	-0.02662420
2.60595750	0.78293586	0.03064156
3.03920530	0.88801777	0.01967931
3.26451950	-0.16428876	-0.00178719
3.48367880	-0.39388686	0.00308561
3.24767590	0.26982358	-0.02746463
3.63678070	0.82856828	-0.03973937
6.18222810	-0.80907071	-0.23867249
6.64238260	-0.79948837	-0.23822856
6.81219390	1.01931800	-0.53949738
6.84631350	1.01477420	-0.21548462
11.86163400	-0.60397834	-0.43340778
12.46598400	1.10262250	-0.75714159
15.36888300	-0.15236612	-1.35742620
15.34928300	-0.08429469	-1.36300180
15.33564800	0.82927269	-1.42066480
15.42301100	-2.39786340	-0.90105343
15.32448600	0.42672592	-1.02592850
1.10617410	-0.68122792	0.06432477
1.10244870	-0.22899815	0.04522845
1.09397340	0.28599092	0.02107605
1.03236570	0.71785742	0.01473281
1.28049450	-0.66441280	0.05778891
1.61143540	-0.68316746	0.05401850
1.25116720	-0.20410334	0.04136959
1.59402590	-0.18377347	0.03080064
2.17320130	-0.14607216	0.01893127
1.24704990	0.26533845	0.01901287
1.57096640	0.28603339	0.00913703
2.15599540	0.34686336	-0.00452816
1.64894460	0.78090888	0.06734955
2.04547690	0.72985095	0.01561820
2.42396350	-0.14896682	0.01368415
2.72040890	-0.18206577	0.01082635
3.20034720	-0.13967793	-0.00614023
